transaction_id,card_number,transaction_date,transaction_amount,merchant_name,transaction_type,transaction_category,location,amount_before,amount_after,user,credit_risk
1,5100137772079859,1/28/2021,5971.15,Kimia,withdrawal,dining,Suite 8,9721.25,15692.4,John,Low Risk
2,3569892136655799,12/29/2021,9070.78,Youopia,refund,entertainment,Suite 93,7947.15,17017.93,Alice,Medium Risk
3,3567336516906366,12/11/2021,2232.68,Twinder,purchase,entertainment,5th Floor,146.54,2379.22,Bob,High Risk
4,3533405611778425,12/18/2021,7949.52,Talane,purchase,entertainment,Suite 26,4569.87,12519.39,Charlie,Low Risk
5,3573551117238256,11/9/2021,8559.74,Brightdog,withdrawal,groceries,Apt 693,4562.65,13122.39,David,High Risk
6,3529328733134978,2/22/2021,5897.6,Browsedrive,purchase,groceries,Suite 89,1155.32,7052.92,Eve,Medium Risk
7,3529053860918981,5/30/2021,3390.11,Devshare,refund,bills,Room 1936,7542.7,10932.81,Frank,Medium Risk
8,560224590756683622,5/6/2021,739.14,Janyx,refund,dining,Apt 929,4690.02,5429.16,Grace,High Risk
9,4026348692074805,3/15/2021,2256.27,Oozz,purchase,dining,Room 1156,8200.14,10456.41,Hannah,Medium Risk
10,3557532113995081,12/25/2021,4154.11,BlogXS,withdrawal,dining,Room 1774,2977.21,7131.32,Ivy,Medium Risk
11,6333386301736243,12/24/2021,8075.91,Devshare,refund,bills,Room 981,9285.12,17361.03,John,Low Risk
12,4508822341425755,4/30/2021,1460.07,Twimm,purchase,entertainment,PO Box 41938,739.93,2200.0,Alice,Medium Risk
13,560222300311325251,1/13/2021,9407.21,Latz,withdrawal,groceries,Suite 61,5865.58,15272.79,Bob,High Risk
14,374283257686246,9/19/2021,1938.19,Innotype,purchase,groceries,2nd Floor,617.63,2555.82,Charlie,Low Risk
15,201735469957441,10/15/2021,9654.09,Brainsphere,refund,bills,15th Floor,8938.09,18592.18,David,High Risk
16,3530158789841573,2/26/2021,7265.51,Edgeclub,refund,entertainment,Suite 88,8751.59,16017.1,Eve,Medium Risk
17,3549110407133098,8/6/2021,5104.83,Wikibox,purchase,dining,Room 1311,3540.13,8644.96,Frank,Medium Risk
18,4911623710136219073,1/9/2021,9963.44,Kamba,withdrawal,entertainment,Apt 305,95.63,10059.07,Grace,High Risk
19,56022592806461721,8/1/2021,1613.66,Mudo,withdrawal,bills,Apt 1394,6634.95,8248.61,Hannah,Medium Risk
20,5340776359520460,1/25/2021,6970.25,Layo,purchase,dining,PO Box 48746,7436.6,14406.85,Ivy,Medium Risk
21,374288205689606,12/5/2021,1330.27,Gigashots,refund,entertainment,Apt 1202,8314.56,9644.83,John,Low Risk
22,67619254632029521,12/10/2021,503.0,Pixope,withdrawal,entertainment,Room 55,322.01,825.01,Alice,Medium Risk
23,5345381742844324,5/7/2021,4039.28,Latz,refund,entertainment,PO Box 82431,7230.82,11270.1,Bob,High Risk
24,3573278873820834,5/24/2021,7642.96,Aibox,withdrawal,groceries,Room 1718,3364.82,11007.78,Charlie,Low Risk
25,3580016945269056,4/2/2021,7700.09,Leexo,purchase,groceries,3rd Floor,4572.36,12272.45,David,High Risk
26,3532377599664581,11/24/2021,9994.3,Buzzster,refund,bills,Apt 533,616.51,10610.81,Eve,Medium Risk
27,4903536267198847,3/19/2021,9205.41,Kwideo,purchase,groceries,Suite 62,9963.35,19168.76,Frank,Medium Risk
28,201479078267914,1/27/2021,8110.79,Trunyx,withdrawal,dining,Apt 1984,2852.09,10962.88,Grace,High Risk
29,560221144681722056,9/29/2021,4029.76,Photobean,refund,bills,18th Floor,9223.74,13253.5,Hannah,Medium Risk
30,3571296114128843,5/5/2021,6436.49,Brainverse,refund,groceries,Suite 55,4065.15,10501.64,Ivy,Medium Risk
31,337941693416611,5/24/2021,1236.16,LiveZ,refund,groceries,Suite 21,696.53,1932.69,John,Low Risk
32,50181794400004655,5/30/2021,8117.41,Minyx,purchase,bills,20th Floor,8299.44,16416.85,Alice,Medium Risk
33,3553686952315589,12/26/2021,2272.91,Mynte,purchase,dining,PO Box 89749,8431.74,10704.65,Bob,High Risk
34,374622518303473,1/25/2021,3356.5,Realfire,withdrawal,entertainment,Suite 39,7588.46,10944.96,Charlie,Low Risk
35,3580213193635969,9/11/2021,9155.24,Tambee,purchase,groceries,Suite 7,329.36,9484.6,David,High Risk
36,5048373049419850,2/1/2021,2882.49,Fatz,withdrawal,entertainment,2nd Floor,9917.25,12799.74,Eve,Medium Risk
37,6304969732758236,12/10/2021,2357.79,Ooba,withdrawal,entertainment,20th Floor,3036.29,5394.08,Frank,Medium Risk
38,3576835977161642,5/25/2021,4378.8,Mycat,withdrawal,groceries,Suite 67,6770.79,11149.59,Grace,High Risk
39,560221010451370436,2/24/2021,6870.2,Fliptune,purchase,entertainment,Room 132,1788.88,8659.08,Hannah,Medium Risk
40,3537981667624149,12/24/2021,8125.32,Voolith,withdrawal,entertainment,Apt 1685,1698.32,9823.64,Ivy,Medium Risk
41,5423834144025939,10/10/2021,6506.84,Bubbletube,refund,bills,Apt 85,953.74,7460.58,John,Low Risk
42,30276269247649,10/14/2021,2397.79,Ntags,refund,groceries,Suite 66,7566.69,9964.48,Alice,Medium Risk
43,374288629310110,11/5/2021,6887.41,Agivu,purchase,bills,Apt 1762,2255.5,9142.91,Bob,High Risk
44,3541605847279870,9/27/2021,8646.04,Fivespan,withdrawal,bills,Room 1448,2772.7,11418.74,Charlie,Low Risk
45,3534911952798756,6/2/2021,762.14,Devcast,withdrawal,entertainment,Apt 1418,5878.18,6640.32,David,High Risk
46,3571613111397132,12/3/2021,8009.41,Dabfeed,withdrawal,groceries,5th Floor,4411.6,12421.01,Eve,Medium Risk
47,5235445855855915,8/21/2021,7765.19,Eire,withdrawal,dining,Room 1429,6890.42,14655.61,Frank,Medium Risk
48,5602230242127334,7/13/2021,3053.09,Blogtags,withdrawal,entertainment,PO Box 5202,943.95,3997.04,Grace,High Risk
49,3584597880381994,10/16/2021,2137.1,Browsecat,refund,entertainment,Suite 74,3690.47,5827.57,Hannah,Medium Risk
50,3575904602301857,2/2/2021,9509.27,Gabtune,withdrawal,groceries,PO Box 24146,4878.23,14387.5,Ivy,Medium Risk
51,201735046644991,7/11/2021,1133.24,Mydo,refund,bills,PO Box 84766,1209.72,2342.96,John,Low Risk
52,67710145283264789,12/22/2021,3308.42,Chatterbridge,purchase,entertainment,Apt 874,1755.14,5063.56,Alice,Medium Risk
53,3545280553185624,1/7/2021,3838.87,Mita,purchase,bills,Room 1655,9332.0,13170.87,Bob,High Risk
54,5255658519523142,7/25/2021,8691.52,Latz,refund,groceries,2nd Floor,5604.42,14295.94,Charlie,Low Risk
55,67592633830543956,3/6/2021,1798.4,Babbleset,withdrawal,entertainment,PO Box 79217,2815.07,4613.47,David,High Risk
56,5007667150919338,11/6/2021,8698.77,Kwimbee,refund,bills,11th Floor,1756.85,10455.62,Eve,Medium Risk
57,5010122425121091,12/2/2021,2896.6,Yombu,refund,dining,PO Box 58308,6898.37,9794.97,Frank,Medium Risk
58,3549456344053463,5/5/2021,7472.19,Gigazoom,withdrawal,entertainment,Apt 1967,2944.65,10416.84,Grace,High Risk
59,676371050807106029,6/3/2021,6794.52,Vinder,withdrawal,dining,Room 1980,2182.2,8976.72,Hannah,Medium Risk
60,6767270858627555651,8/8/2021,1001.76,Bubblebox,refund,entertainment,Suite 71,6902.78,7904.54,Ivy,Medium Risk
61,5352370956294706,5/14/2021,3585.34,Realmix,withdrawal,entertainment,Suite 9,7181.4,10766.74,John,Low Risk
62,3586196782226817,5/7/2021,588.17,Avamm,refund,entertainment,17th Floor,5652.11,6240.28,Alice,Medium Risk
63,3584310574782539,9/9/2021,8361.82,Plajo,withdrawal,bills,20th Floor,5474.93,13836.75,Bob,High Risk
64,3546636293893646,1/21/2021,5404.47,InnoZ,purchase,bills,Suite 49,2049.73,7454.2,Charlie,Low Risk
65,3581911641854368,5/3/2021,6738.5,BlogXS,withdrawal,groceries,2nd Floor,3471.18,10209.68,David,High Risk
66,5602242801043133,11/3/2021,5066.48,Skippad,purchase,bills,Apt 617,378.23,5444.71,Eve,Medium Risk
67,3535009919842319,4/1/2021,2780.4,Leenti,purchase,entertainment,Room 1058,4005.12,6785.52,Frank,Medium Risk
68,5100149537903489,7/21/2021,3245.2,Einti,purchase,dining,Suite 72,3125.23,6370.43,Grace,High Risk
69,3585143330750014,1/22/2021,4454.49,Realbridge,purchase,dining,Apt 229,7601.24,12055.73,Hannah,Medium Risk
70,560223407777620080,3/23/2021,2513.43,Jabbercube,refund,bills,PO Box 41976,4165.66,6679.09,Ivy,Medium Risk
71,30124512266620,4/11/2021,9709.07,Trunyx,withdrawal,groceries,Apt 1531,3332.52,13041.59,John,Low Risk
72,3535636790013188,10/23/2021,9199.99,Wordtune,refund,bills,PO Box 85458,2527.82,11727.81,Alice,Medium Risk
73,4175007581582653,12/22/2021,3241.63,Tambee,refund,bills,Room 493,1729.93,4971.56,Bob,High Risk
74,3579607907869272,8/15/2021,7315.56,Photobean,withdrawal,groceries,Suite 43,7505.51,14821.07,Charlie,Low Risk
75,3548540156767202,4/2/2021,9835.25,Demimbu,purchase,bills,Suite 12,6337.08,16172.33,David,High Risk
76,201923563167840,4/1/2021,7400.47,Mynte,refund,entertainment,PO Box 40800,3887.71,11288.18,Eve,Medium Risk
77,3543244368887289,4/30/2021,6681.16,Skajo,withdrawal,entertainment,Suite 51,8153.98,14835.14,Frank,Medium Risk
78,67638617507305191,9/26/2021,9610.88,Skinte,withdrawal,entertainment,18th Floor,537.54,10148.42,Grace,High Risk
79,5602220958700093,2/9/2021,9792.51,Vipe,withdrawal,entertainment,PO Box 94667,4932.29,14724.8,Hannah,Medium Risk
80,3584298812100228,5/1/2021,1597.54,Oloo,withdrawal,bills,12th Floor,9062.81,10660.35,Ivy,Medium Risk
81,5417423191877539,4/12/2021,7584.33,Realpoint,withdrawal,dining,Room 1271,4603.18,12187.51,John,Low Risk
82,3534182554167952,6/25/2021,6154.71,Edgepulse,withdrawal,bills,Room 934,3023.1,9177.81,Alice,Medium Risk
83,5020160993305330,11/3/2021,2023.4,Blogspan,withdrawal,dining,Suite 62,5119.45,7142.85,Bob,High Risk
84,5602257458194567,9/26/2021,3058.61,Yakijo,purchase,entertainment,PO Box 22857,9745.71,12804.32,Charlie,Low Risk
85,3570177798301552,12/5/2021,9703.1,Agivu,withdrawal,entertainment,Room 1442,2590.79,12293.89,David,High Risk
86,630484661290150067,4/25/2021,8383.83,Mudo,withdrawal,groceries,Room 261,6800.41,15184.24,Eve,Medium Risk
87,5100146372440403,12/12/2021,6218.45,Meembee,purchase,bills,Suite 69,6421.68,12640.13,Frank,Medium Risk
88,3551826621960280,4/26/2021,9310.53,InnoZ,withdrawal,bills,Room 1143,964.56,10275.09,Grace,High Risk
89,3564313872829188,10/2/2021,4439.7,Meeveo,purchase,bills,PO Box 66384,4376.9,8816.6,Hannah,Medium Risk
90,604288196607103072,11/2/2021,3871.08,Skalith,withdrawal,bills,Room 733,1947.69,5818.77,Ivy,Medium Risk
91,676161027110435976,9/16/2021,5995.23,Cogidoo,refund,bills,PO Box 14602,4199.67,10194.9,John,Low Risk
92,5493090572938599,2/27/2021,8593.84,Meevee,refund,dining,Apt 1483,2370.7,10964.54,Alice,Medium Risk
93,4905492298853227834,6/17/2021,8826.56,LiveZ,refund,dining,PO Box 76489,2273.87,11100.43,Bob,High Risk
94,502050530279360242,3/23/2021,2549.8,Agivu,refund,dining,PO Box 94957,1195.81,3745.61,Charlie,Low Risk
95,5403753877995544,5/2/2021,2021.9,Flashspan,withdrawal,bills,Room 17,4294.52,6316.42,David,High Risk
96,3583378628305061,3/11/2021,1311.13,Jaxnation,withdrawal,bills,8th Floor,6191.03,7502.16,Eve,Medium Risk
97,3579801808299636,8/11/2021,2975.51,Youspan,purchase,dining,Apt 1885,7209.51,10185.02,Frank,Medium Risk
98,3574388850338574,9/13/2021,5830.53,Podcat,purchase,entertainment,7th Floor,8303.23,14133.76,Grace,High Risk
99,670998356332159342,10/4/2021,8530.45,Riffwire,refund,bills,Apt 118,2777.93,11308.38,Hannah,Medium Risk
100,3528624375797820,8/24/2021,9915.25,Babbleset,purchase,bills,Room 1822,5341.7,15256.95,Ivy,Medium Risk
101,5449231164475898,11/25/2021,2322.36,Podcat,purchase,dining,Apt 1304,9856.24,12178.6,John,Low Risk
102,3575882541598272,2/9/2021,4251.79,Realcube,withdrawal,groceries,Suite 77,2905.55,7157.34,Alice,Medium Risk
103,3536251210082968,6/6/2021,2209.68,Kamba,withdrawal,entertainment,11th Floor,2731.4,4941.08,Bob,High Risk
104,371052852712183,6/7/2021,9062.87,Buzzbean,withdrawal,bills,PO Box 25889,8987.7,18050.57,Charlie,Low Risk
105,63048010750242845,2/26/2021,7248.56,Lajo,withdrawal,groceries,Room 1528,6942.07,14190.63,David,High Risk
106,3550195311424564,1/6/2021,5067.63,Fiveclub,withdrawal,groceries,PO Box 67689,5947.24,11014.87,Eve,Medium Risk
107,6333810316964326,3/2/2021,4496.5,Oloo,purchase,entertainment,Apt 673,1076.31,5572.81,Frank,Medium Risk
108,3568839641765226,8/18/2021,7006.75,Browsezoom,purchase,bills,Room 220,1720.3,8727.05,Grace,High Risk
109,5217470937979840,1/20/2021,6518.33,Vitz,withdrawal,bills,Suite 57,8132.4,14650.73,Hannah,Medium Risk
110,6759403227392663222,12/28/2021,4535.41,Aibox,withdrawal,dining,PO Box 75375,4240.58,8775.99,Ivy,Medium Risk
111,4175001866940959,10/27/2021,9853.24,Riffpath,purchase,groceries,Apt 30,8542.81,18396.05,John,Low Risk
112,3539190007685848,5/5/2021,7939.87,Fivechat,withdrawal,groceries,8th Floor,6404.76,14344.63,Alice,Medium Risk
113,604536390766614819,4/30/2021,6059.97,DabZ,purchase,entertainment,Room 1711,332.64,6392.61,Bob,High Risk
114,3550412915391846,3/13/2021,8237.51,Fanoodle,purchase,groceries,6th Floor,6140.56,14378.07,Charlie,Low Risk
115,5641828761831651016,10/13/2021,9940.96,Yombu,withdrawal,entertainment,Apt 579,7992.91,17933.87,David,High Risk
116,201973680145179,11/1/2021,4560.79,Chatterbridge,purchase,bills,4th Floor,2477.98,7038.77,Eve,Medium Risk
117,374622049354078,6/11/2021,8499.93,Blognation,refund,groceries,Apt 587,497.99,8997.92,Frank,Medium Risk
118,374622743891268,10/8/2021,9503.83,Skipstorm,withdrawal,dining,Apt 1593,3205.1,12708.93,Grace,High Risk
119,374288524859047,11/28/2021,1940.79,Zooxo,withdrawal,bills,Suite 70,4847.81,6788.6,Hannah,Medium Risk
120,3536650197410755,2/24/2021,5097.63,Rhyzio,refund,bills,8th Floor,8664.36,13761.99,Ivy,Medium Risk
121,5276318845592031,7/15/2021,4537.86,Aimbo,refund,groceries,Room 1911,9636.59,14174.45,John,Low Risk
122,4017959658071,8/24/2021,3720.67,Youbridge,purchase,entertainment,PO Box 70043,5767.01,9487.68,Alice,Medium Risk
123,3577752237640050,6/11/2021,7535.47,Meemm,purchase,groceries,Suite 87,8730.69,16266.16,Bob,High Risk
